Label,variety,hmotnost (g),vyska (mm),sirka (mm),sirka (mm),Objem,Hustota,Ek,c11,c12,d. area (mm2),id,Fa,k_a,Fb,Fa/Fb,Ft,rear_slope
E08,B32,183.1,66,75.5,76.4,216.248746238716,0.846710111317254,0.119,0.231704420038188,0.255769566469558,32.8992617573631,E_08,37.7250173333333,40.43031705568,74.0436253333333,0.509497166886426,50.7313948507937,-2.96225992078561
E09,B32,211.2,68.7,79.9,77.1,249.648946840522,0.845987946966653,0.119,0.189061888060318,0.175183306350509,68.864118821213,E_09,51.099759,37.9945601206125,69.9352213333333,0.730672728644733,45.1260162071198,-1.10686871016316
E10,B32,255.2,78.3,83.9,82.4,300.902708124373,0.848114666666667,0.119,0.231704420038188,0.255769566469558,93.4483389122693,E_10,36.1398383333333,41.5236153231856,70.723523,0.511001669604798,43.8906595669643,-0.266917285361421
E11,B32,252.3,78.9,79.5,85.1,303.009027081244,0.832648460774578,0.119,0.189061888060318,0.182058283750446,50.8035328808035,E_11,58.0625406666667,48.4997211489916,82.0025036666667,0.708058145427926,45.1234203414634,-4.1136674512132
E12,B32,191.9,66.1,76.3,752,225.476429287864,0.851086743772242,0.119,0.197763753973278,0.158560388433563,67.8434631746401,E_12,44.9938843333333,40.9935289546294,77.9086123333333,0.577521316139302,48.6265918122977,3.84143004395227
E13,B32,180.7,66.6,75.8,72.8,221.664994984955,0.815194117647059,0.119,0.223937629837565,0.237700864149485,69.2934000338363,E_13,34.897686,24.6995692502729,58.9511116666667,0.591976724668494,41.0734286199095,-0.703893067553971
E14,B32,252.1,74,82.6,84,305.817452357071,0.824347982945228,0.119,0.189061888060318,0.214583370045833,64.1105169340463,E_14,34.6865926666667,26.3796437175041,59.439265,0.583563620220854,45.3611520380623,-8.01435592006544
E15,B32,255.3,73.2,82.2,85.8,308.425275827482,0.827753170731707,0.119,0.178604699466839,0.185544024841519,89.2906720205481,E_15,46.9563926666667,42.3074461450977,63.769317,0.736347743330334,42.3512578692098,-3.82295970818438
E16,B32,263.4,73.9,87.8,83.4,224.473420260782,1.17341286863271,0.119,0.287340213733381,0.336779667402502,82.4918544733087,E_16,30.5036463333333,42.5772299913074,50.626778,0.6025200010424,30.9191466186667,-1.5574033966611
E17,B32,208.6,68.6,77.8,78.2,247.542627883651,0.842683144246353,0.119,0.20508126297029,0.20508126297029,70.5392636015967,E_17,34.77103,28.0780864197421,60.0461583333333,0.579071683603406,43.4769884331797,-3.5956464807787
E18,B32,246.6,73.6,79.6,88.2,296.188565697091,0.832577717575347,0.119,0.220102210293401,0.266108574579285,86.2265075024815,E_18,39.2231203333333,32.882103346839,66.134222,0.593083567737946,47.1851894456522,-2.38763108123661
E19,B32,211.5,73.5,75.9,80.4,252.056168505517,0.839098686828492,0.119,0.203453857439862,0.192611838407518,97.7686570747243,E_19,52.6130343333333,38.3947347873809,67.5835096666667,0.778489228997277,50.1694162736156,-3.86744844786372
E20,B32,211.3,64.5,78.3,82.4,247.542627883651,0.85359035656402,0.119,0.227805046015148,0.235635712798206,97.0815806293047,E_20,49.7804256666667,38.6175042344521,77.0160833333333,0.646364025695932,48.9228512086614,-4.21327283684646
F01,HL648,211.1,78.6,70.9,74.4,240.521564694082,0.877675979983319,0.119,0.249686775691266,0.253745100790769,70.0282335556596,F_01,47.2024483333333,42.9392289338947,69.6225393333333,0.677976540145155,53.5710413580247,-1.15445447021336
F02,HL648,183.9,63.4,73.6,73.1,208.726178535607,0.88105862566074,0.119,0.249686775691266,0.218356923539637,73.9962853502355,,,,,,,
F03,HL648,143.5,57.8,67.2,67.7,159.779338014042,0.898113622096673,0.119,0.259891532474145,0.307311815601136,73.2739447961169,F_03,57.986679,53.3395687125614,69.9134523333333,0.829406602945755,52.1525428039702,-2.73402074405495
F04,HL648,180.7,69.6,69.7,71.4,205.215646940822,0.880537145650049,0.119,0.249686775691266,0.261956041080221,83.0730729067781,,,,,,,
F05,HL648,163.7,69.8,64.4,66.1,182.547642928786,0.896752197802198,0.119,0.309349571273766,0.327513342357012,60.2342731005544,F_05,63.7745943333333,55.792471363734,78.0840836666667,0.816742559284948,55.3614968708709,-2.01743409604842
F06,HL648,180.9,72.3,68.8,69.9,204.012036108325,0.886712389380531,0.119,0.245659934561383,0.257834869483497,81.5066059337211,,,,,,,
F07,HL648,162.4,63.2,69.9,68.5,182.748244734203,0.888654226125137,0.119,0.20140639716742,0.237700864149485,81.684010068662,F_07,70.244605,54.4395067282546,77.9218056666667,0.90147558053893,54.412456575,-2.13437784141287
F08,HL648,177.7,60.5,73,72.9,201.203610832497,0.883184945164507,0.119,0.20140639716742,0.218356923539637,87.8998214032177,,,,,,,
F09,HL648,170.8,61,73.6,70.7,193.681043129388,0.881862247540135,0.119,0.270377445207882,0.259891532474145,91.154140327594,F_09,52.6222696666667,49.9875154181379,78.2107396666667,0.672826646199003,54.4602376712707,2.45382376588922
F10,HL648,208.2,75.3,72.7,71.6,235.506519558676,0.88405195911414,0.119,0.313844290649227,0.341458779269087,79.4047153619586,,,,,,,
F11,HL648,198.4,70.2,71.8,76.4,223.470411233701,0.88781328545781,0.119,0.255769566469558,0.266108574579285,92.4406766340171,F_11,61.445971,50.0017745164872,61.4624626666667,0.999731679045207,50.322403544086,-3.16999576927796
F12,HL648,213.6,77.4,70.5,75.9,245.937813440321,0.868512234910277,0.119,0.189061888060318,0.158560388433563,80.8047838975079,,,,,,,
F13,HL648,199.1,70.4,74.5,72.8,226.680040120361,0.878330530973451,0.119,0.28097506512839,0.313844290649227,91.8330530430696,F_13,42.651408,42.6645514353649,68.425904,0.623322535863026,48.3840819367816,-1.38207572412412
F14,HL648,224.6,82.3,73.7,73.8,255.967903711133,0.877453761755486,0.119,0.222162272704677,0.257834869483497,79.5009906568384,,,,,,,
F15,HL648,234.7,82.4,76.5,76.5,264.69408224674,0.886683971201213,0.119,0.182058283750446,0.185544024841519,84.1425756573819,F_15,51.0634773333333,47.2510396585562,68.4628453333333,0.745856779465043,52.2085487222222,-1.84903046156724
F16,HL648,171.8,69.3,70.7,66.9,192.377131394183,0.893037539103233,0.119,0.294002618657958,0.311810595097945,97.7860100442509,,,,,,,
F17,HL648,186.8,73.1,70.5,71,208.926780341023,0.894093134901584,0.119,0.249686775691266,0.24166461746428,73.9508680555556,F_17,64.230424,54.9374571622926,68.677237,0.935250554707086,51.2258103055556,-1.62425263797256
F18,HL648,186.3,66.6,71.9,75,209.127382146439,0.890844604316547,0.119,0.243593896495021,0.259891532474145,73.0827063024208,,,,,,,
F19,HL648,186,74.8,69.9,68.5,209.428284854564,0.888132183908046,0.119,0.274507561718113,0.278753931796109,81.8156662912027,F_19,63.5074293333333,47.0903954639477,64.511442,0.984436673006524,48.9326199214092,-1.908824250724
F20,HL648,190.3,75.3,72.4,70.3,214.844533600802,0.885756769374417,0.119,0.266108574579285,0.313844290649227,71.5193050722959,,,,,,,
G01,B217,236.2,74.2,81.6,83.5,292.276830491474,0.808137954701441,0.119,0.229868206294385,0.249686775691266,63.2010273859807,G_01,44.998502,43.3222863704298,72.140487,0.623762104627877,45.0543912508039,0.0352144143725562
G02,B217,196.3,63.8,78.6,80.7,243.530591775326,0.806058896210873,0.119,0.156578372779468,0.239598884866597,69.0309649244928,,,,,,,
