label,apple ID,variety,repetition,area (mm2),r,g,b
B,13,B68,1,70.19457966970641,178.0010987646064,171.72695221807135,73.08474819181563
B,14,B68,1,68.96971227425773,182.55500320602877,184.16084898523786,80.59828819677092
B,15,B68,1,66.97700064608486,187.53599541884256,183.3664669532739,88.18595567559251
B,16,B68,1,90.36904795231229,172.04318993691572,160.81013275569404,56.663664462516785
B,17,B68,1,78.97386123338268,182.91314521679286,181.1781649581628,78.81206940268773
B,18,B68,1,70.81300951332227,177.04231681538735,177.72529165927097,74.97287528439804
B,19,B68,1,72.63454560415067,176.0982552366542,178.06118492600123,75.62211767301842
C,0,HL143,1,50.756338024350875,167.40242365596237,168.40766703422824,74.7361658077728
C,1,HL143,1,66.97056520655426,171.55283123533178,170.32002560273096,78.96767228504373
C,2,HL143,1,44.88500622635746,169.71297698268293,164.99744252032625,76.7636303487588
C,3,HL143,1,52.86839190318251,165.18731545874388,165.0302620621032,68.5733027612239
C,4,HL143,1,60.390198949707134,175.28075126391508,175.0520456810731,79.53629627850563
C,5,HL143,1,64.12114871794871,169.70083634250614,166.10437678993898,79.53692981363882
C,6,HL143,1,70.58338679890309,175.94639266734004,176.5533194256964,80.21705353181608
C,7,HL143,1,62.07378293023896,166.81746383229998,166.44580380868024,68.13911647475642
C,8,HL143,1,58.37444604556185,174.40665555773379,169.5905900803764,80.88768868849245
C,9,HL143,1,78.61532254345921,171.97355391157453,169.72356847439855,72.9321445214656
C,10,HL143,1,70.3405997008261,172.9025641025641,176.14912356946255,79.28441740306147
C,11,HL143,1,85.94424342335043,178.66277053191743,183.0170020351761,89.51706934644716
C,12,HL143,1,62.61903696015263,182.48945336041606,181.40539273676927,89.8387982411107
C,13,HL143,1,85.07818074017702,182.20319574559164,175.4490837545483,77.86901723825675
C,14,HL143,1,73.94441538244027,177.65743266142698,180.5948549941094,87.34430224488808
C,15,HL143,1,77.16641919935991,180.47293037136672,184.09517454446103,93.85624513986676
C,16,HL143,1,66.80463263317745,183.43682740191912,182.17432284707883,93.56107129843313
C,17,HL143,1,70.80194964278941,184.38891635307056,184.92769297511072,94.60133778589372
C,18,HL143,1,64.89078136495606,185.5221088810064,188.19654541849346,95.93966599836965
D,0,B143,1,59.60670347206136,131.85309002330905,149.33299384725225,88.1389618025661
D,1,B143,1,64.50734364011782,116.31617372182518,121.7989994502474,92.45728422210006
D,2,B143,1,22.381488036587093,123.75258049972712,127.92506466079776,83.29402273212634
D,3,B143,1,51.3577427728194,133.15471273410697,125.74538342184051,75.43158722874189
D,4,B143,1,43.20817170822639,121.99289067319052,114.65035703457433,62.432905728235525
D,5,B143,1,54.51971028203554,129.93345490535307,129.3275274900833,72.82891855453985
D,6,B143,1,44.571562242432236,117.30311722356248,115.90058507303915,54.01256577322721
D,7,B143,1,24.389073814068684,130.0898103472985,127.76849949839966,70.75488463192089
D,8,B143,1,40.989538577296855,133.04625637821513,133.79801450935472,76.35708285605193
D,9,B143,1,61.363146378937486,134.31998950911395,133.66686191371247,71.02314988853433
D,10,B143,1,58.71141445355371,134.34007476053267,136.8637099914337,73.12094073670275
D,11,B143,1,41.41190360411159,138.36200056897206,143.5798852573018,82.1219496775825
D,12,B143,1,51.598758763377,128.7559026771681,136.9528400460097,67.99650536926305
D,13,B143,1,85.78368656426211,140.70689600782347,144.82606192526697,83.05412545939211
D,14,B143,1,62.9161583685081,139.4757716336793,143.2851785381711,80.6113472055263
D,15,B143,1,61.02751338342911,126.60097005218536,131.76725016063062,62.82833680713357
D,16,B143,1,48.658661818940764,134.25146664308247,136.78269115493845,74.82840521604119
D,17,B143,1,66.56335415000427,151.51713958894507,167.14754068115568,102.01253643776982
D,18,B143,1,54.75111556355486,148.20589354889273,163.74364629749883,101.46036633153452
D,19,B143,1,52.27210924620083,145.29400940023677,158.10381283917624,92.08093345992006
E,1,B32,1,96.36224498757154,139.4845565956677,133.7771295919444,72.48493847259279
E,2,B32,1,59.69453209443903,134.7272206219505,126.05116542237376,79.09919316912585
E,3,B32,1,80.8387854594924,149.71595258058892,147.65221199266128,88.23688536158132
E,4,B32,1,57.088093215112856,160.993184600882,152.6449599635934,98.39742770150936
E,5,B32,1,78.3285090450525,144.216563274455,140.58718883679816,94.95709617843444
E,6,B32,1,34.13973984030329,134.82949564919932,122.64004874607146,72.0183866760738
E,7,B32,1,32.899261757363064,140.67977270320827,138.82501852962977,77.6347368792574
E,8,B32,1,68.86411882121297,150.3264848711244,136.13320051467232,67.30199643049849
E,9,B32,1,93.44833891226929,139.310143104861,129.03796756797956,84.77656776996513
E,10,B32,1,50.80353288080354,137.41966578652296,128.16830035808587,76.03016602162984
E,11,B32,1,67.84346317464005,144.0172537742631,125.31967409537503,70.71543775200826
E,12,B32,1,69.29340003383628,135.2956079021178,128.56088167147678,72.15711759684565
