,hmotnost (g),šířka (mm),šířka (mm),výška (mm),čas
L11,180,72,73,67,
L12,206,71,74,72,
L13,237,76,75,79,
L14,197,70,71,74,
L15,170,72,71,62,
L16,155,65,68,64,
L17,173,70,68,66,
L18,213,75,76,69,
L19,170,73,65,67,
L20,184,73,70,72,
