Label,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
C13,222.13,82.35,79.52,72.68,0.119,0.28734021373338126,0.31586793246247025,0.3073118156011356,0.34417071448972786
C14,140.6,66.71,65.04,66.04,0.119,0.3367796674025019,0.39493623256192845,0.3321311730158082,0.41528717811513977
C15,185.16,74.53,71.63,75.81,0.119,0.25783486948349654,0.30045284808177225,0.2980895663962269,0.3341355632208383
C16,152.3,68.6,65.24,70.37,0.119,0.29372175318518345,0.3576537282070288,0.37212700332625825,0.40694655055469653
C17,177.51,74.43,71.5,68.52,0.119,0.27875393179610863,0.34616846206294305,0.2916800401674882,0.3604804659224587
C18,166.32,68.39,69.97,71.93,0.119,0.266108574579285,0.31586793246247025,0.2745075617181131,0.296050932778998
C19,163.89,67.02,70.4,69.14,0.119,0.2537451007907685,0.2640117802766065,0.341458779269087,0.37212700332625825
C20,149.42,69.53,65.66,67.78,0.119,0.3093495712737663,0.3509086689272973,0.3367796674025019,0.39493623256192845
D01,163.68,72.77,70.76,64.3,0.301,0.23294085752084678,0.3158334921093337,0.20744368751212236,0.26106131648942393
D02,143.25,69.61,67.23,62.32,0.301,0.20390474438778547,0.30914813768900795,0.23532524131983362,0.32551870053621174
D03,162.21,72.42,71.48,65.46,0.301,0.21757289713260983,0.30914813768900795,0.26601805534922385,0.35360699527332945
D04,178.0,76.04,68.48,66.96,0.301,0.185444875214609,0.2800977426318378,0.22118439568021528,0.29578758428503044
D05,127.65,66.05,66.7,55.72,0.301,0.2498612082846614,0.36511856408562754,0.23402851575169675,0.36222605532582575
D06,157.5,72.33,68.42,62.86,0.301,0.21989027092562932,0.3200212093438153,0.22820511151912318,0.3310565402586238
D07,148.34,70.08,69.44,57.87,0.301,0.23164440060584207,0.3227648977935933,0.2775194911608485,0.32828259043618313
D08,163.24,71.26,71.87,62.39,0.301,0.23294085752084678,0.3338405226695202,0.22585379598159336,0.2839724277795483
D09,150.28,72.03,68.12,64.45,0.301,0.2762404667265006,0.3675699126338009,0.2498612082846614,0.35608015610706356
D10,142.94,70.64,64.62,65.92,0.301,0.23532524131983362,0.37385415756210155,0.19192508535282635,0.32402854811749876
D11,170.2,74.29,73.13,63.41,0.119,0.22393762983756546,0.276695338690604,0.3321311730158082,0.37017378933516487
D12,172.88,73.33,70.59,67.17,0.119,0.2984077827299773,0.32549344345638115,0.31181059509794457,0.37310937417089457
D13,168.69,71.71,72.66,69.85,0.119,0.33477030903720006,0.4101545598276742,0.31384429064922675,0.37017378933516487
D14,178.3,76.02,73.37,61.72,0.119,0.27029242866701153,0.30045284808177225,0.3275133423570122,0.39997903643277827
D15,166.92,71.52,71.42,68.92,0.119,0.2034538574398617,0.26195604108022114,0.30488574228102594,0.296050932778998
D16,159.8,70.63,67.65,64.72,0.119,0.31586793246247025,0.35288957400066956,0.37017378933516487,0.39184481338450666
D17,153.15,71.25,72.34,63.63,0.119,0.31181059509794457,0.32549344345638115,0.3073118156011356,0.31384429064922675
D18,150.67,70.02,70.8,59.05,0.119,0.3275133423570122,0.3275133423570122,0.27875393179610863,0.3093495712737663
D19,145.44,70.99,68.39,63.01,0.119,0.3321311730158082,0.40505182901114745,0.31384429064922675,0.3899234675696009
D20,174.11,73.8,71.89,65.29,0.119,0.2896287485078018,0.341458779269087,0.30488574228102594,0.30045284808177225
E01,184.57,78.01,81.72,59.02,0.301,0.23294085752084678,0.2813846272411951,0.2224757607593134,0.30772964088807137
E02,217.86,83.8,83.82,73.86,0.301,0.2142637164270957,0.2865706747023119,0.2474113252455068,0.31042074644596135
E03,160.91,74.59,74.35,62.29,0.301,0.2498612082846614,0.31042074644596135,0.21197916003238515,0.30914813768900795
E04,201.28,82.72,82.72,68.74,0.301,0.2585686630397972,0.34193625398551475,0.23294085752084678,0.27113839494736464
E05,207.34,80.77,83.24,65.69,0.301,0.22118439568021528,0.2891793425291728,0.19850792690460117,0.2788072984651209
E06,228.78,85.81,79.7,71.67,0.301,0.18245199149245442,0.2762404667265006,0.18118203674800748,0.26106131648942393
E07,209.67,82.16,84.87,63.43,0.301,0.19410799102211987,0.25608670510251436,0.26607861204191585,0.3577062347027932
E08,196.55,84.81,77.02,66.11,0.301,0.26731233910197355,0.3577062347027932,0.22585379598159336,0.3023780962743914
E09,208.65,82.91,77.8,67.31,0.301,0.26607861204191585,0.35323187914988347,0.248705247237843,0.31438914053489125
E10,191.24,79.9,77.24,65.18,0.301,0.21886635692781523,0.2788072984651209,0.24254415364194934,0.3050487487339503
E11,235.87,86.21,87.04,64.2,0.119,0.2852862161469115,0.32549344345638115,0.27875393179610863,0.30691741406365247
E12,209.14,84.01,77.96,66.88,0.119,0.2809750651283901,0.32549344345638115,0.27244707975674815,0.30488574228102594
E13,214.43,85.51,79.06,66.6,0.119,0.26823033093441767,0.3249407682415394,0.26195604108022114,0.3387785821623964
E14,189.6,82.4,77.94,62.35,0.119,0.30045284808177225,0.33945509273362395,0.3203890829527126,0.3899234675696009
E15,215.25,84.74,80.23,68.2,0.119,0.26195604108022114,0.3203890829527126,0.26195604108022114,0.3341355632208383
E16,217.39,87.14,80.16,70.48,0.119,0.266108574579285,0.3321311730158082,0.28303149665373734,0.30691741406365247
E17,166.45,74.47,77.42,60.26,0.119,0.2916800401674882,0.3295229434056542,0.27029242866701153,0.32292622136904703
E18,185.4,84.7,73.7,57.21,0.119,0.25783486948349654,0.33477030903720006,0.31384429064922675,0.3556793527016932
E19,230.24,87.88,83.92,72.93,0.119,0.26195604108022114,0.31836985568931364,0.26195604108022114,0.31384429064922675
E20,182.14,84.93,72.53,62.21,0.119,0.296050932778998,0.3556793527016932,0.266108574579285,0.2916800401674882
F01,249.77,85.41,84.85,72.77,0.301,0.20744368751212236,0.25115497301944784,0.15068950149241847,0.16181035521523462
F02,222.48,82.8,80.59,69.22,0.301,0.15192494587793098,0.23661897870015688,0.1487504132270402,0.22015709699601269
F03,210.64,82.4,80.35,65.12,0.301,0.2007249137615957,0.2839724277795483,0.15068950149241847,0.22480547398840767
F04,244.34,84.4,81.05,76.65,0.301,0.13671980984823565,0.20744368751212236,0.18118203674800748,0.248705247237843
F05,201.97,78.8,78.38,69.57,0.301,0.21099338974100396,0.24999600259586974,0.2178495054370218,0.2891793425291728
F06,243.39,82.86,84.69,69.54,0.301,0.2064784189416239,0.27242514580625005,0.1719868687233397,0.24512914004550576
F07,229.5,82.42,80.79,68.65,0.301,0.2318606814612494,0.26607861204191585,0.2142637164270957,0.26607861204191585
F08,198.81,80.22,76.35,68.81,0.301,0.15782112165636716,0.29442783846320797,0.19979006500801894,0.2891793425291728
F09,230.41,80.78,81.11,73.02,0.301,0.2165594562661777,0.2839724277795483,0.15980990642925885,0.21555300871227417
F10,208.13,85.36,80.2,66.63,0.301,0.1975831285322399,0.3050487487339503,0.23164440060584207,0.2762404667265006
F11,230.51,82.01,79.96,71.89,0.119,0.28303149665373734,0.34616846206294305,0.25167927784236516,0.3073118156011356
F12,254.4,86.63,86.41,72.98,0.119,0.19822821274735059,0.21835692353963707,0.25783486948349654,0.296050932778998
F13,224.04,81.72,82.27,68.41,0.119,0.21629882584970841,0.22805364916503695,0.25580241655666763,0.2517444728820974
F14,249.71,87.03,86.53,70.38,0.119,0.25580241655666763,0.28080327243220343,0.22780504601514784,0.25783486948349654
F15,185.62,79.42,73.44,63.64,0.119,0.24372226215468804,0.2477177415006999,0.296050932778998,0.39684896216507404
F16,244.33,83.92,84.36,77.32,0.119,0.2517444728820974,0.27875393179610863,0.2537451007907685,0.31384429064922675
F17,228.16,79.71,80.73,72.09,0.119,0.25783486948349654,0.2640117802766065,0.25783486948349654,0.3073118156011356
F18,219.35,85.04,78.08,73.42,0.119,0.23376871405249441,0.2395988848665968,0.2435938964950214,0.26195604108022114
F19,221.38,82.23,80.71,69.95,0.119,0.276695338690604,0.3367796674025019,0.2723455085688925,0.30045284808177225
F20,207.79,80.04,77.24,69.06,0.119,0.28303149665373734,0.3275133423570122,0.2852862161469115,0.33477030903720006
G01,171.92,72.76,71.95,67.63,0.301,0.20519281607831763,0.29179840567762233,0.20744368751212236,0.2762404667265006
G02,144.45,69.8,63.92,62.74,0.301,0.24254415364194934,0.3338405226695202,0.2412470156950998,0.35075355836560884
G03,168.77,73.6,72.11,67.96,0.301,0.20841567484886284,0.30377298579087286,0.1884748481179539,0.2498612082846614
G04,153.03,72.7,69.96,63.5,0.301,0.17696523586965998,0.30645542423818006,0.20615455083511122,0.2800977426318378
