label,apple ID,variety,repetition,area (mm2),r,g,b
F,17,Red Spring,2,53.3148686125,198.4690023799,181.8975069252,93.521887558
F,18,Red Spring,1,63.5578996448,183.6087674278,173.5096189994,83.2526437946
F,18,Red Spring,2,55.0345020462,198.4899450518,203.4893219283,112.0813837119
F,19,Red Spring,1,60.9707141703,186.4182947429,175.2293753306,93.6311532752
F,19,Red Spring,2,64.0799806108,200.3661955815,183.2130441845,97.0691520468
G,0,B32,1,143.2243548318,191.0498072215,162.8795390908,57.8174761409
G,0,B32,2,126.1505643876,202.4506164623,170.0125039517,70.1909036455
G,1,B32,1,120.5220851209,185.7991194036,154.8018483805,54.3978900562
G,1,B32,2,136.4123308246,192.6262040904,156.4902208591,61.6183977313
G,2,B32,1,131.4324040981,197.3205594942,170.4232372102,71.4010426646
G,2,B32,2,107.50985187,201.5970630966,173.2894195423,78.0985695759
G,3,B32,1,135.4609669823,189.143078089,165.1246964752,60.6836769414
G,3,B32,2,98.3721759004,197.7306093373,168.3765749099,70.0312377064
G,4,B32,1,101.4750572105,193.7430086341,175.0116049969,72.8223971282
G,4,B32,2,129.1191450171,211.5358313058,194.8190592052,101.5851013788
G,5,B32,1,116.4784828985,196.4970994127,175.4853529348,67.828369906
G,5,B32,2,125.5205434957,209.2683960608,186.8555234162,81.8932184119
G,6,B32,1,123.3898943008,196.1022210147,169.9902873056,72.7765061468
G,6,B32,2,107.7945118794,205.8316887456,175.5316032788,80.516355231
G,7,B32,1,139.4097209819,193.2052303898,163.6757925289,68.6409032122
G,7,B32,2,96.0806121133,201.215733223,176.3520384841,88.9552142966
G,8,B32,1,139.0114904044,193.993334791,169.4901869124,66.870299859
G,8,B32,2,109.6739061423,193.2284187932,162.8586024326,64.685542571
G,9,B32,1,132.8064849301,194.2084654832,167.5799289941,66.5046627219
G,9,B32,2,112.8630988608,199.7365081132,163.655589264,67.7476968466
G,10,B32,1,55.526646809,177.0937523452,147.6300187617,63.3688180113
G,10,B32,2,81.2057740948,196.2231324186,169.0894407222,80.4575944239
G,11,B32,1,67.4495890772,185.685260932,155.7437757575,72.2492784046
G,11,B32,2,49.6101898974,189.6741135864,159.2597427047,73.8006903044
G,12,B32,1,47.3471908168,189.1317282625,175.0604420882,73.5786360549
G,12,B32,2,56.3275092293,202.9312297138,198.724826645,102.2753393331
G,13,B32,1,49.2359848616,192.7727733221,165.8560151963,73.9745884339
G,13,B32,2,63.9562974826,196.0531418254,161.8089204093,78.2790474486
G,14,B32,1,78.6410112323,191.4100285624,170.0052893261,69.0693430657
G,14,B32,2,61.449115867,195.2925094203,166.0176576942,70.5664824859
G,15,B32,1,68.719255513,189.3708762536,164.3051837062,71.6478800805
G,15,B32,2,53.3691000686,197.7777540149,168.8003460746,78.9121009449
G,16,B32,1,49.2598047602,192.142899203,171.4228722845,77.0968223592
G,16,B32,2,30.0592011753,191.7695877884,168.677759824,88.0922748994
G,17,B32,1,70.8933195061,188.2533677313,169.1312645666,70.9859867196
G,17,B32,2,53.9980920394,194.2563757874,167.7599285605,77.8331348902
G,18,B32,1,64.7576810197,188.1252947877,162.3167984856,58.8809298445
G,18,B32,2,59.756410172,198.9635618389,177.1070566372,77.2742414506
G,19,B32,1,53.4986575656,180.302972177,167.7111911958,73.3351352399
G,19,B32,2,61.6360396702,198.9062526326,184.5003791006,87.2396084312
H,0,Rumba,1,159.4788546622,215.8637078756,222.9887690213,153.6416597258
H,0,Rumba,2,149.1427821762,215.5270229223,206.1027443224,116.1909864726
H,1,Rumba,1,131.2947229005,206.2419709351,198.3031762006,102.826190572
H,1,Rumba,2,129.0672531409,209.9497588655,191.6358254661,93.6902670084
H,2,Rumba,1,143.6268649736,207.2944401055,199.2079765992,100.2647691605
H,2,Rumba,2,114.8592500351,196.2591514794,178.1364871212,96.7026310216
H,3,Rumba,1,147.7889902043,203.8744605193,190.3593622299,94.5061009707
H,3,Rumba,2,142.2607728884,209.6885304499,188.2641377359,96.620682722
H,4,Rumba,1,135.8188994691,192.0032382809,174.954970604,75.8124469456
H,4,Rumba,2,118.627897531,209.3808470063,193.1649215602,100.6001097438
H,5,Rumba,1,140.120883844,195.5732266323,191.7693203943,98.173396802
H,5,Rumba,2,110.7241238704,206.1970108169,197.7691718683,105.4079692165
H,6,Rumba,1,114.310981073,199.5980458347,189.604122126,93.0011627471
H,6,Rumba,2,150.5150865902,206.4729299022,191.5014010995,96.0931142912
H,7,Rumba,1,130.6666943546,202.8450594314,185.7718606504,84.8450183592
H,7,Rumba,2,115.3007480815,203.1099577729,174.5147050617,84.2397269193
H,8,Rumba,1,92.217766829,201.3779573466,189.4349412903,100.7386924126
H,8,Rumba,2,107.0125852695,216.0345943881,206.0159349332,114.5825650718
H,9,Rumba,1,87.7527131757,195.5690200852,184.1948508825,83.1368959221
H,9,Rumba,2,122.8718833546,207.0603530098,186.3249100931,85.2429881314
H,10,Rumba,1,80.6354029558,196.0990892191,188.6151850316,92.4019339049
H,10,Rumba,2,78.2010835514,209.9596332805,194.7059488523,102.260880954
H,11,Rumba,1,66.7015473197,197.5025268844,189.8374343424,95.6845951186
H,11,Rumba,2,88.8461576179,205.8428744067,195.3289521223,103.2088404948
H,12,Rumba,1,82.7746476052,200.2592203439,200.5443893226,102.3280886323
H,12,Rumba,2,78.1702922282,209.8795231594,199.3609519922,104.2065136311
H,13,Rumba,1,36.3843087107,200.2610643458,197.4807247824,116.284519903
H,13,Rumba,2,35.197984053,198.2032489165,185.4812936702,110.8115805301
H,14,Rumba,1,32.5925973914,181.7465405388,172.7481704004,88.4394234764
H,14,Rumba,2,36.1913060378,193.064994233,190.0985294118,105.3469434833
H,15,Rumba,1,37.3997258337,183.4240382465,169.4799821069,91.337144934
H,15,Rumba,2,48.8907453855,198.1553583706,179.4253824338,96.1865976281
H,16,Rumba,1,49.1783879335,190.0102025538,182.0553547366,90.0401257673
H,16,Rumba,2,62.1293028333,200.9876277477,189.8110096097,98.4946189177
H,17,Rumba,1,51.6975034408,183.2483121848,169.3533634293,83.0921994469
H,17,Rumba,2,86.4664336656,205.1460674157,203.9871292806,112.1254498652
H,18,Rumba,1,50.7066978201,192.2714928374,170.5808611647,78.7403238178
